year,ind1,ind2,twc
2013,Construction,Construction,5.2
2013,Services,Wholesale And Retail Trade,5.3
2013,Services,Transportation And Storage,6
2013,Services,Accommodation And Food Services,5.3
2013,Services,Information And Communications,5.5
2013,Services,Financial And Insurance Services,5.3
2013,Services,Real Estate Services,6.4
2013,Services,Professional Services,4.9
2013,Services,Administrative And Support Services,6.6
2013,Services,"Community,Social And Personal Services",5.3
2014,Manufacturing,Manufacturing,4.9
2014,Construction,Construction,3.8
2014,Services,Wholesale And Retail Trade,4.4
2014,Services,Transportation And Storage,3.8
2014,Services,Accommodation And Food Services,3.7
2014,Services,Information And Communications,4.7
2014,Services,Financial And Insurance Services,5.9
2014,Services,Real Estate Services,6.8
2014,Services,Professional Services,4
2014,Services,Administrative And Support Services,8.6
2014,Services,"Community,Social And Personal Services",5.4
2015,Manufacturing,Manufacturing,3.1
2015,Construction,Construction,3.1
2015,Services,Wholesale And Retail Trade,3.3
2015,Services,Transportation And Storage,4.3
2015,Services,Accommodation And Food Services,3.2
2015,Services,Information And Communications,2.5
2015,Services,Financial And Insurance Services,5.4
2015,Services,Real Estate Services,4.1
2015,Services,Professional Services,3.7
2015,Services,Administrative And Support Services,6.5
2015,Services,"Community,Social And Personal Services",5.1
2016,Manufacturing,Manufacturing,1.7
2016,Construction,Construction,2.1
2016,Services,Wholesale And Retail Trade,2.7
2016,Services,Transportation And Storage,5.1
2016,Services,Accommodation And Food Services,2.3
2016,Services,Information And Communications,2.7
2016,Services,Financial And Insurance Services,3.9
2016,Services,Real Estate Services,3.4
2016,Services,Professional Services,3.3
2016,Services,Administrative And Support Services,5
2016,Services,"Community,Social And Personal Services",3.7
2017,Manufacturing,Manufacturing,4.2
2017,Construction,Construction,2
2017,Services,Wholesale And Retail Trade,3.3
2017,Services,Transportation And Storage,3.3
2017,Services,Accommodation And Food Services,3.8
2017,Services,Information And Communications,3.9
2017,Services,Financial And Insurance Services,4.2
2017,Services,Real Estate Services,3.1
2017,Services,Professional Services,4.3
2017,Services,Administrative And Support Services,4.3
2017,Services,"Community,Social And Personal Services",4.3
